
---------- Begin Simulation Statistics ----------
simSeconds                                   0.062221                       # Number of seconds simulated (Second)
simTicks                                  62221013500                       # Number of ticks simulated (Tick)
finalTick                                 62221013500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    239.43                       # Real time elapsed on the host (Second)
hostTickRate                                259872503                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     651748                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      100049548                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   417660                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     417867                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        124442027                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.244420                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.803587                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.branchPred.lookups                24066932                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted          20503678                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect            206704                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             10460048                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates               180078                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                10459050                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999905                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                 1034837                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  5                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups          285861                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits             285748                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              113                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          148                       # Number of mispredicted indirect branches. (Count)
system.cpu.branchPred.tage.longestMatchProviderCorrect      8447413                       # Number of times TAGE Longest Match is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.altMatchProviderCorrect        11391                       # Number of times TAGE Alt Match is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.bimodalAltMatchProviderCorrect           73                       # Number of times TAGE Alt Match is the bimodal and it is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.bimodalProviderCorrect     11606047                       # Number of times there are no hits on the TAGE tables and the bimodal prediction is correct (Count)
system.cpu.branchPred.tage.longestMatchProviderWrong        99279                       # Number of times TAGE Longest Match is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.altMatchProviderWrong         7463                       # Number of times TAGE Alt Match is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.bimodalAltMatchProviderWrong           34                       # Number of times TAGE Alt Match is the bimodal and it is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.bimodalProviderWrong          453                       # Number of times there are no hits on the TAGE tables and the bimodal prediction is wrong (Count)
system.cpu.branchPred.tage.altMatchProviderWouldHaveHit        11153                       # Number of times TAGE Longest Match is the provider, the prediction is wrong and Alt Match prediction was correct (Count)
system.cpu.branchPred.tage.longestMatchProviderWouldHaveHit         2724                       # Number of times TAGE Alt Match is the provider, the prediction is wrong and Longest Match prediction was correct (Count)
system.cpu.branchPred.tage.longestMatchProvider::0            0                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::1      3010640                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::2      1833333                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::3      1346360                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::4       622542                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::5       436308                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::6       376766                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::7       939597                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.altMatchProvider::0      5507375                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::1       389875                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::2       816196                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::3       357831                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::4       492554                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::5       339578                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::6       662137                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::7            0                       # TAGE provider for alt match (Count)
system.cpu.commitStats0.numInsts            100000000                       # Number of instructions committed (thread level) (Count)
system.cpu.commitStats0.numOps              100049548                       # Number of ops (including micro ops) committed (thread level) (Count)
system.cpu.commitStats0.numInstsNotNOP              0                       # Number of instructions committed excluding NOPs or prefetches (Count)
system.cpu.commitStats0.numOpsNotNOP                0                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.commitStats0.cpi                  1.244420                       # CPI: cycles per instruction (thread level) ((Cycle/Count))
system.cpu.commitStats0.ipc                  0.803587                       # IPC: instructions per cycle (thread level) ((Count/Cycle))
system.cpu.commitStats0.numMemRefs                  0                       # Number of memory references committed (Count)
system.cpu.commitStats0.numFpInsts                  0                       # Number of float instructions (Count)
system.cpu.commitStats0.numIntInsts                 0                       # Number of integer instructions (Count)
system.cpu.commitStats0.numLoadInsts                0                       # Number of load instructions (Count)
system.cpu.commitStats0.numStoreInsts               0                       # Number of store instructions (Count)
system.cpu.commitStats0.numVecInsts                 0                       # Number of vector instructions (Count)
system.tol2bus.pktCount_system.cpu.dcache.mem_side_port::system.l2.cpu_side_port       270319                       # Packet count per connected requestor and responder (Count)
system.tol2bus.pktCount::total                 271335                       # Packet count per connected requestor and responder (Count)
system.tol2bus.pktSize_system.cpu.icache.mem_side_port::system.l2.cpu_side_port        32512                       # Cumulative packet size per connected requestor and responder (Byte)
system.tol2bus.pktSize_system.cpu.dcache.mem_side_port::system.l2.cpu_side_port     11330432                       # Cumulative packet size per connected requestor and responder (Byte)
system.tol2bus.pktSize::total                11362944                       # Cumulative packet size per connected requestor and responder (Byte)
system.tol2bus.snoops                           88844                       # Total snoops (Count)
system.tol2bus.snoopTraffic                   4586688                       # Total snoop traffic (Byte)
system.tol2bus.snoopFanout::samples            182189                       # Request fanout histogram (Count)
system.tol2bus.snoopFanout::mean             0.093990                       # Request fanout histogram (Count)
system.tol2bus.snoopFanout::stdev            0.291816                       # Request fanout histogram (Count)
system.tol2bus.snoopFanout::underflows              0      0.00%      0.00% # Request fanout histogram (Count)
system.tol2bus.snoopFanout::0                  165065     90.60%     90.60% # Request fanout histogram (Count)
system.tol2bus.snoopFanout::1                   17124      9.40%    100.00% # Request fanout histogram (Count)
system.tol2bus.snoopFanout::2                       0      0.00%    100.00% # Request fanout histogram (Count)
system.tol2bus.snoopFanout::3                       0      0.00%    100.00% # Request fanout histogram (Count)
system.tol2bus.snoopFanout::4                       0      0.00%    100.00% # Request fanout histogram (Count)
system.tol2bus.snoopFanout::overflows               0      0.00%    100.00% # Request fanout histogram (Count)
system.tol2bus.snoopFanout::min_value               0                       # Request fanout histogram (Count)
system.tol2bus.snoopFanout::max_value               1                       # Request fanout histogram (Count)
system.tol2bus.snoopFanout::total              182189                       # Request fanout histogram (Count)
system.tol2bus.power_state.pwrStateResidencyTicks::UNDEFINED  62221013500                       # Cumulative time (in ticks) in various power states (Tick)
system.tol2bus.reqLayer0.occupancy          173196000                       # Layer occupancy (ticks) (Tick)
system.tol2bus.reqLayer0.utilization              0.0                       # Layer utilization (Ratio)
system.tol2bus.respLayer0.occupancy            762000                       # Layer occupancy (ticks) (Tick)
system.tol2bus.respLayer0.utilization             0.0                       # Layer utilization (Ratio)
system.tol2bus.respLayer1.occupancy         139255500                       # Layer occupancy (ticks) (Tick)
system.tol2bus.respLayer1.utilization             0.0                       # Layer utilization (Ratio)
system.tol2bus.snoop_filter.totRequests        177990                       # Total number of requests made to the snoop filter. (Count)
system.tol2bus.snoop_filter.hitSingleRequests        84645                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.tol2bus.snoop_filter.hitMultiRequests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.tol2bus.snoop_filter.totSnoops           17124                       # Total number of snoops made to the snoop filter. (Count)
system.tol2bus.snoop_filter.hitSingleSnoops        17124                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.tol2bus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.voltage_domain.voltage                       1                       # Voltage in Volts (Volt)
system.workload.inst.arm                            0                       # number of arm instructions executed (Count)
system.workload.inst.quiesce                        0                       # number of quiesce instructions executed (Count)
system.cpu.idleCycles                         6633187                       # Total number of cycles that the object has spent stopped (Unspecified)
system.cpu.tickCycles                       117808840                       # Number of cycles that the object actually ticked (Unspecified)

---------- End Simulation Statistics   ----------
